plot_name,locality_name,country,team_leader,additional_people,ddlat,ddlon,date_census_1
Kongo007,Kongo,Cameroun,Libalah M.,"G. Mofack, D. Zebaze, N. Kamdem, S. Momo, O. Ngana",3.39918,13.8201,5/17/2015
Kongo008,Kongo,Cameroun,Libalah M.,"G. Mofack, D. Zebaze, N. Kamdem, S. Momo, O. Ngana",3.39718,13.8257,5/20/2015
UMA008,UMA,République Démocratique du Congo,Eric Wasingya,Mbutanganga Tshimba,0.44048,25.8308,1/1/2014
AlpiCam010,Comifac,Cameroun,Texier N.,"M. Libalah, G. Mofack, D. Zebaze, N. Kamdem, O. Ngana",3.91569,14.9263,1/1/2015
AlpiCam011,Comifac,Cameroun,Texier N.,"M. Libalah, G. Mofack, D. Zebaze, N. Kamdem, O. Ngana",3.92531,14.9237,1/1/2015
AlpiCam012,Comifac,Cameroun,Texier N.,"M. Libalah, G. Mofack, D. Zebaze, N. Kamdem, O. Ngana",3.91816,14.916,1/1/2015
AlpiCam013,AlpiCam,Cameroun,M. Libalah,"D. Zebaze, O. Ngana",3.98045,14.8698,1/1/2015
AbongMbang001,AbongMbang,Cameroun,Cohen S.,"Ayol T., Cosio A., Mofack G., Mogue S.",4.18364,13.1056,1/1/2016
AbongMbang003,AbongMbang,Cameroun,Cohen S.,"Ayol T., Mofack G., Ngana O.",4.20646,13.1082,1/1/2016
AbongMbang004,AbongMbang,Cameroun,Cohen S.,"Ayol T., Mofack G., Ngana O.",4.2014,13.1067,1/1/2016
AbongMbang005,AbongMbang,Cameroun,Cohen S.,"Ayol T., Mofack G., Ngana O.",4.1875,13.115,1/1/2016
AlpiCam009,Comifac,Cameroun,Texier N.,"M. Libalah, G. Mofack, D. Zebaze, N. Kamdem, O. Ngana",3.88727,14.4003,1/1/2015
AlpiCam014,AlpiCam,Cameroun,M. Libalah,"D. Zebaze, O. Ngana",3.95665,14.8913,1/1/2015
AlpiCam015,AlpiCam,Cameroun,M. Libalah,"D. Zebaze, O. Ngana",3.95656,14.8856,1/1/2015
AlpiCam016,AlpiCam,Cameroun,Cohen S.,"Libalah M., Mofack G., Ngana O., Tayo K.",3.9499,14.9736,1/1/2016
Atog-boga001,Atog-boga,Cameroun,Texier N.,"D. Zebaze, T. Ayol, V. Droissart",3.25671,10.4927,1/1/2015
Atog-boga002,Atog-boga,Cameroun,Texier N.,"D. Zebaze, T. Ayol, V. Droissart",3.24889,10.4975,1/1/2015
Atog-boga003,Atog-boga,Cameroun,Texier N.,"D. Zebaze, T. Ayol, V. Droissart",3.27196,10.4825,1/1/2015
